B2A1-3,2,1766727370714
B3D1-4,3,1766727371715
B2A1-11,2,1766727378732
B3D1-12,3,1766727379734
B3D1-10015,3,1766727383743
B2A1-19,2,1766727386750
B3D1-20,3,1766727387752
B2A1-27,2,1766727394766
B3D1-28,3,1766727395768
B3D1-10027,3,1766727395768
B3D1-10031,3,1766727399779
B2A1-35,2,1766727402790
B2A1-10034,2,1766727402790
B3D1-36,3,1766727403793
B2A1-43,2,1766727410811
B3D1-44,3,1766727411814
B3D1-10045,3,1766727413819
B2A1-51,2,1766727418844
B3D1-52,3,1766727419849
B2A1-10053,2,1766727421851
B2A1-10055,2,1766727423858
B2A1-59,2,1766727426869
B3D1-60,3,1766727427874
B2A1-67,2,1766727434892
B3D1-68,3,1766727435895
B2A1-75,2,1766727442913
B3D1-76,3,1766727443914
B3D1-10079,3,1766727447923
B2A1-83,2,1766727450931
B3D1-84,3,1766727451934
B2A1-10089,2,1766727457949
B2A1-91,2,1766727458953
B3D1-92,3,1766727459954
B2A1-99,2,1766727466976
B3D1-10098,3,1766727466976
B3D1-100,3,1766727467978
B2A1-107,2,1766727474997
B3D1-108,3,1766727475999
B2A1-115,2,1766727483017
B3D1-116,3,1766727484019
B2A1-10115,2,1766727484019
B2A1-123,2,1766727491040
B3D1-124,3,1766727492044
B2A1-10125,2,1766727494049
B3D1-10126,3,1766727495052
B2A1-131,2,1766727499063
B3D1-132,3,1766727500066
B2A1-10136,2,1766727505077
B2A1-139,2,1766727507083
B2A1-10138,2,1766727507083
B3D1-140,3,1766727508087
B2A1-147,2,1766727515108
B3D1-10146,3,1766727515108
B3D1-148,3,1766727516112
B3D1-10148,3,1766727517114
B2A1-155,2,1766727523126
B3D1-156,3,1766727524129
B3D1-10156,3,1766727525130
B2A1-163,2,1766727531142
B3D1-164,3,1766727532144
B3D1-10164,3,1766727533145
B2A1-171,2,1766727539156
B3D1-172,3,1766727540157
B2A1-10171,2,1766727540157
B2A1-179,2,1766727547172
B3D1-180,3,1766727548174
B3D1-10185,3,1766727554192
B2A1-187,2,1766727555195
B3D1-188,3,1766727556197
B3D1-10188,3,1766727557199
B2A1-10189,2,1766727558202
B2A1-195,2,1766727563212
B3D1-196,3,1766727564214
B3D1-10196,3,1766727565216
B2A1-203,2,1766727571230
B3D1-10202,3,1766727571230
B3D1-204,3,1766727572233
B3D1-10203,3,1766727572233
B2A1-10208,2,1766727577243
B2A1-211,2,1766727579246
B3D1-212,3,1766727580248
B3D1-10211,3,1766727580248
B3D1-10214,3,1766727583254
B3D1-10217,3,1766727586258
B2A1-219,2,1766727587260
B3D1-220,3,1766727588261
B2A1-10221,2,1766727590264
B2A1-10224,2,1766727593270
B2A1-227,2,1766727595273
B3D1-228,3,1766727596274
B2A1-10227,2,1766727596274
B3D1-10228,3,1766727597276
B2A1-235,2,1766727603287
B3D1-236,3,1766727604288
B2A1-243,2,1766727611298
B3D1-244,3,1766727612299
B3D1-10246,3,1766727615306
B2A1-251,2,1766727619311
B3D1-252,3,1766727620313
B2A1-259,2,1766727627330
B2A1-10258,2,1766727627330
B3D1-260,3,1766727628331
B3D1-10264,3,1766727633342
B2A1-267,2,1766727635345
B3D1-10266,3,1766727635345
B3D1-268,3,1766727636346
B2A1-10267,2,1766727636346
B3D1-10271,3,1766727640352
B2A1-275,2,1766727643359
B3D1-276,3,1766727644361
B2A1-283,2,1766727651375
B3D1-284,3,1766727652377
B2A1-291,2,1766727659394
B3D1-292,3,1766727660396
B2A1-10297,2,1766727666412
B2A1-299,2,1766727667418
B3D1-300,3,1766727668419
B2A1-307,2,1766727675433
B3D1-308,3,1766727676436
B2A1-10310,2,1766727679445
