D3-3561,3,1766425303561
D1-6076,1,1766425306076
D3-8578,3,1766425308578
D1-1084,1,1766425311084
D1-8602,1,1766425328602
D3-1106,3,1766425331106
D1-8639,1,1766425338639
D3-1189,3,1766425351189
D3-1228,3,1766425361228
D1-6239,1,1766425366239
D3-6239,3,1766425366239
D1-6293,1,1766425376293
D1-8809,1,1766425378809
D3-6347,3,1766425386347
D3-8860,3,1766425388860
D1-8887,1,1766425398887
D1-1389,1,1766425401389
D1-3895,1,1766425403895
D1-6414,1,1766425406414
D3-8946,3,1766425408946
D3-3962,3,1766425413962
D3-1484,3,1766425421484
D1-3999,1,1766425423999
D1-6548,1,1766425436548
D1-6569,1,1766425446569
D1-9075,1,1766425449075
D1-4104,1,1766425454104
D1-4168,1,1766425474168
D3-4168,3,1766425474168
D1-6676,1,1766425476676
D1-9200,1,1766425479200
D1-1716,1,1766425481716
D1-4226,1,1766425484226
D1-6742,1,1766425486742
D1-303,1,1766425520303
D1-2866,1,1766425532866
D1-7876,1,1766425537876
D1-379,1,1766425540379
D3-379,3,1766425540379
D1-5402,1,1766425545402
D1-5442,1,1766425555442
D3-7954,3,1766425557954
D1-2972,1,1766425562972
D1-3017,1,1766425573017
D3-3045,3,1766425583045
D1-3076,1,1766425593076
D3-3076,3,1766425593076
D1-3112,1,1766425603112
D3-3112,3,1766425603112
D1-8169,1,1766425618169
D3-8169,3,1766425618169
D3-3198,3,1766425623198
D1-5699,1,1766425625699
D3-8202,3,1766425628202
D1-3208,1,1766425633208
D3-3208,3,1766425633208
D1-5712,1,1766425635712
D1-717,1,1766425640717
D1-8221,1,1766425648221
D1-722,1,1766425650722
D3-731,3,1766425660731
D1-3233,1,1766425663233
D3-3233,3,1766425663233
D1-736,1,1766425670736
D3-8242,3,1766425678242
D3-744,3,1766425680744
