A1-8919,1,1766422008919
A1-1423,1,1766422011423
A2-1423,2,1766422011423
A2-3927,2,1766422013927
A1-1433,1,1766422021433
A1-6439,1,1766422026439
A1-8941,1,1766422028941
A1-3945,1,1766422033945
A1-6448,1,1766422036448
A1-8949,1,1766422038949
A1-1452,1,1766422041452
A2-1452,2,1766422041452
A1-3955,1,1766422043955
A2-3955,2,1766422043955
A1-6457,1,1766422046457
A2-6457,2,1766422046457
A1-8960,1,1766422048960
A2-1463,2,1766422051463
A2-3966,2,1766422053966
A3-3966,3,1766422053966
A2-6469,2,1766422056469
A2-8972,2,1766422058972
A2-1476,2,1766422061476
A3-1476,3,1766422061476
A1-6480,1,1766422066480
A1-1484,1,1766422071484
A1-3986,1,1766422073986
A1-6488,1,1766422076488
A1-8989,1,1766422078989
A2-8989,2,1766422078989
A3-8989,3,1766422078989
A1-3995,1,1766422083995
A1-6497,1,1766422086497
A1-8999,1,1766422088999
A1-1509,1,1766422101509
A1-6513,1,1766422106513
A1-9014,1,1766422109014
